@relation 'Features file for properties'

@attribute URI1 string
@attribute URI2 string
@attribute SIM1-labels numeric
@attribute SIM2-comments numeric
@attribute SIM3-equiv numeric
@attribute SIM4-sub numeric
@attribute SIM5-super numeric
@attribute SIM6-directSuper numeric
@attribute SIM7-directSub numeric
@attribute SIM8-dom numeric
@attribute SIM9-directDom numeric
@attribute SIM10-ranges numeric
@attribute reference numeric

@data
http://cmt_en#op-0102687-5392298,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-2352672-2684910,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-4815057-3921498,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-0491014-8723432,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-2649033-9712859,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-5548425-1932115,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-7075044-5167613,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-6143522-2877268,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-1288474-9125864,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-0644404-7231162,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-7452997-4133095,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-6746253-0545056,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-5999633-4351656,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-9779608-5108867,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-5714477-9488711,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-2958559-8395926,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-2611597-4191733,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-1581958-6116705,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-6688605-5254034,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-7758730-0930874,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-4204612-8254155,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-0563197-2956391,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-3673731-3704063,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-4706944-2787728,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-9305729-7081388,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-4999283-7971326,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-3741712-7753689,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-4931010-8867602,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-3343741-2145006,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-2798366-1946309,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
http://cmt_en#op-1599762-7967134,http://conference_es#op-3657553-1806421,0,0,0,0,0,0,0,0,0,0,0
